t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
6.796,237.38506234914,54.2730124698279,2.22,23.0755846977979,6.83511693955958
3.808,230.85223140568,49.978446281136,2.76,32.2481240861022,9.20962481722044
5.272,238.184531982099,52.9089063964198,2.398,21.9879555592256,6.79559111184511
6.33,315.18812538283,69.3676250765661,2.976,26.8542926748336,8.34685853496672
2.864,185.477202288588,39.9594404577175,2.334,32.3183649749808,8.79767299499616
5.09,312.376474312739,67.5652948625477,2.524,16.1578395746115,5.7555679149223
3.026,167.214871717197,36.4689743434395,4.106,40.6801827249605,12.2420365449921
3.958,96.127484913418,23.1834969826836,2.792,36.3594459219643,10.0638891843929
6.12,621.365503229587,130.393100645917,2.812,32.3909131355869,9.29018262711738
5.802,393.790583043076,84.5601166086152,2.278,15.2739327784637,5.33278655569275
4.192,498.099473813163,103.811894762633,2.394,16.4216655540544,5.67833311081089
6.618,219.101323545158,50.4382647090316,2.564,21.7168065957957,6.90736131915913
5.242,230.39456915349,51.3209138306981,2.204,26.7965585353737,7.56331170707474
5.22,230.044155573783,51.2288311147566,2.226,12.4639321636061,4.71878643272121
4.96,288.178284872135,62.595656974427,2.41,34.6825348642777,9.34650697285554
4.954,665.93188570859,138.140377141718,2.668,32.6619167396131,9.20038334792261
6.466,246.177188993992,55.7014377987984,2.068,25.4369800598105,7.15539601196211
4.912,360.166862605036,76.9453725210071,2.638,27.2336190793974,8.08472381587949
3.812,385.946520865133,81.0013041730267,2.066,36.8274860275007,9.43149720550015
4.708,271.81034938739,59.0700698774779,3.954,39.5506621204312,11.8641324240863
3.078,71.6562326941164,17.4092465388233,2.224,37.3833565824808,9.70067131649616
5.474,702.597636397599,145.99352727952,2.492,48.6733103357705,12.2266620671541
6.094,396.514525703305,85.396905140661,2.886,22.2709777795901,7.34019555591801
4.852,147.974934097903,34.4469868195805,2.548,18.9482540402693,6.33765080805386
3.972,440.250538021558,92.0221076043116,3.118,22.8806311470405,7.69412622940811
3.88,157.07772661641,35.295545323282,1.83,10.2834194107384,3.88668388214768
4.714,257.722757639554,56.2585515279109,2.124,21.7445167429091,6.47290334858181
6.796,237.38506234914,54.2730124698279,2.22,23.0755846977979,6.83511693955958
3.808,230.85223140568,49.978446281136,2.76,32.2481240861022,9.20962481722044
5.272,238.184531982099,52.9089063964198,2.398,21.9879555592256,6.79559111184511
6.33,315.18812538283,69.3676250765661,2.976,26.8542926748336,8.34685853496672
2.864,185.477202288588,39.9594404577175,2.334,32.3183649749808,8.79767299499616
5.09,312.376474312739,67.5652948625477,2.524,16.1578395746115,5.7555679149223
3.026,167.214871717197,36.4689743434395,4.106,40.6801827249605,12.2420365449921
3.958,96.127484913418,23.1834969826836,2.792,36.3594459219643,10.0638891843929
6.12,621.365503229587,130.393100645917,2.812,32.3909131355869,9.29018262711738
5.802,393.790583043076,84.5601166086152,2.278,15.2739327784637,5.33278655569275
4.192,498.099473813163,103.811894762633,2.394,16.4216655540544,5.67833311081089
6.618,219.101323545158,50.4382647090316,2.564,21.7168065957957,6.90736131915913
5.242,230.39456915349,51.3209138306981,2.204,26.7965585353737,7.56331170707474
5.22,230.044155573783,51.2288311147566,2.226,12.4639321636061,4.71878643272121
4.96,288.178284872135,62.595656974427,2.41,34.6825348642777,9.34650697285554
4.954,665.93188570859,138.140377141718,2.668,32.6619167396131,9.20038334792261
6.466,246.177188993992,55.7014377987984,2.068,25.4369800598105,7.15539601196211
4.912,360.166862605036,76.9453725210071,2.638,27.2336190793974,8.08472381587949
3.812,385.946520865133,81.0013041730267,2.066,36.8274860275007,9.43149720550015
4.708,271.81034938739,59.0700698774779,3.954,39.5506621204312,11.8641324240863
3.078,71.6562326941164,17.4092465388233,2.224,37.3833565824808,9.70067131649616
5.474,702.597636397599,145.99352727952,2.492,48.6733103357705,12.2266620671541
6.094,396.514525703305,85.396905140661,2.886,22.2709777795901,7.34019555591801
4.852,147.974934097903,34.4469868195805,2.548,18.9482540402693,6.33765080805386
3.972,440.250538021558,92.0221076043116,3.118,22.8806311470405,7.69412622940811
3.88,157.07772661641,35.295545323282,1.83,10.2834194107384,3.88668388214768
4.714,257.722757639554,56.2585515279109,2.124,21.7445167429091,6.47290334858181
6.796,237.38506234914,54.2730124698279,2.22,23.0755846977979,6.83511693955958
3.808,230.85223140568,49.978446281136,2.76,32.2481240861022,9.20962481722044
5.272,238.184531982099,52.9089063964198,2.398,21.9879555592256,6.79559111184511
6.33,315.18812538283,69.3676250765661,2.976,26.8542926748336,8.34685853496672
2.864,185.477202288588,39.9594404577175,2.334,32.3183649749808,8.79767299499616
5.09,312.376474312739,67.5652948625477,2.524,16.1578395746115,5.7555679149223
3.026,167.214871717197,36.4689743434395,4.106,40.6801827249605,12.2420365449921
3.958,96.127484913418,23.1834969826836,2.792,36.3594459219643,10.0638891843929
6.12,621.365503229587,130.393100645917,2.812,32.3909131355869,9.29018262711738
5.802,393.790583043076,84.5601166086152,2.278,15.2739327784637,5.33278655569275
4.192,498.099473813163,103.811894762633,2.394,16.4216655540544,5.67833311081089
6.618,219.101323545158,50.4382647090316,2.564,21.7168065957957,6.90736131915913
5.242,230.39456915349,51.3209138306981,2.204,26.7965585353737,7.56331170707474
5.22,230.044155573783,51.2288311147566,2.226,12.4639321636061,4.71878643272121
4.96,288.178284872135,62.595656974427,2.41,34.6825348642777,9.34650697285554
4.954,665.93188570859,138.140377141718,2.668,32.6619167396131,9.20038334792261
6.466,246.177188993992,55.7014377987984,2.068,25.4369800598105,7.15539601196211
4.912,360.166862605036,76.9453725210071,2.638,27.2336190793974,8.08472381587949
3.812,385.946520865133,81.0013041730267,2.066,36.8274860275007,9.43149720550015
4.708,271.81034938739,59.0700698774779,3.954,39.5506621204312,11.8641324240863
