t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
0,0,0,6.018,39.7459358285617,13.9671871657123
17.302,272.8009793213,71.8621958642601,9.612,27.5409620008564,15.1201924001713
12.384,229.453465278,58.2746930556,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
10.712,200.720723975564,50.8561447951127,5.718,18.1480893801629,9.34761787603258
18.23,343.138085567679,86.8576171135357,6.782,46.065007420692,15.9950014841384
18.282,280.454596160969,74.3729192321938,4.202,28.0547468852206,9.81294937704411
15.302,270.404234209971,69.3828468419942,9.436,25.395083793091,14.5150167586182
18.1,296.858374273156,77.4716748546313,8.952,26.7325457588491,14.2985091517698
16.66,291.041643126369,74.8683286252739,6.306,84.759334101844,23.2578668203688
0,0,0,6.018,39.7459358285617,13.9671871657123
17.508,262.366255186022,69.9812510372045,9.612,27.5409620008564,15.1201924001713
14.524,236.311139322387,61.7862278644773,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
11.192,202.844172802586,51.7608345605172,5.718,18.1480893801629,9.34761787603258
19.504,346.803480707359,88.8646961414719,6.782,46.065007420692,15.9950014841384
16.126,281.049967858191,72.3359935716383,4.202,28.0547468852206,9.81294937704411
13.864,202.672976881018,54.3985953762037,9.436,25.395083793091,14.5150167586182
17.378,280.103655583494,73.3987311166988,7.2,44.2929070283414,16.0585814056683
17.148,288.596143027812,74.8672286055624,8.936,28.3228921545462,14.6005784309092
21.09,346.360869754679,90.3621739509358,10.842,49.9864804856885,20.8392960971377
0,0,0,8.486,25.893089026121,13.6646178052242
17.944,297.97588126444,77.5391762528881,7.458,28.5071748247949,13.159434964959
13.9,237.937597764536,61.4875195529071,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
10.384,210.556417308413,52.4952834616825,5.718,18.1480893801629,9.34761787603258
15.976,259.926655621839,67.9613311243678,4.202,28.0547468852206,9.81294937704411
13.806,253.604844178598,64.5269688357197,9.436,25.395083793091,14.5150167586182
14.202,233.245366937209,60.8510733874419,7.2,44.2929070283414,16.0585814056683
16.31,234.330157476309,63.1760314952618,6.438,44.0899734164394,15.2559946832879
19.804,313.063843677378,82.4167687354756,10.532,38.1887503504779,18.1697500700956
0,0,0,7.586,28.704471613907,13.3268943227814
19.408,333.120409235642,86.0320818471283,9.612,27.5409620008564,15.1201924001713
14.018,218.610560812389,57.7401121624778,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
10.81,216.085691984312,54.0271383968623,5.718,18.1480893801629,9.34761787603258
19.37,380.435576689629,95.4571153379259,6.782,46.065007420692,15.9950014841384
18.42,285.228006221262,75.4656012442523,4.202,28.0547468852206,9.81294937704411
14.898,225.897843732512,60.0775687465023,9.436,25.395083793091,14.5150167586182
20.064,322.213453951536,84.5066907903073,7.2,44.2929070283414,16.0585814056683
20.11,288.022493088425,77.7144986176851,6.438,44.0899734164394,15.2559946832879
17.31,281.082769272407,73.5265538544815,6.306,84.759334101844,23.2578668203688
0,0,0,6.018,39.7459358285617,13.9671871657123
18.52,297.475828140815,78.0151656281631,9.612,27.5409620008564,15.1201924001713
13.452,231.400936186663,59.7321872373325,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
10.362,207.523223881004,51.8666447762008,5.718,18.1480893801629,9.34761787603258
16.992,348.227506514502,86.6375013029004,6.782,46.065007420692,15.9950014841384
16.484,286.449018483067,73.7738036966134,4.202,28.0547468852206,9.81294937704411
15.26,251.893461084604,65.6386922169208,9.436,25.395083793091,14.5150167586182
15.378,240.832231564505,63.5444463129009,7.2,44.2929070283414,16.0585814056683
16.322,247.14067081094,65.750134162188,6.438,44.0899734164394,15.2559946832879
17.348,306.936827524864,78.7353655049728,8.322,57.30427432734,19.782854865468
0,0,0,6.018,39.7459358285617,13.9671871657123
15.532,232.672168939971,62.0664337879941,9.612,27.5409620008564,15.1201924001713
11.768,209.147872092649,53.5975744185297,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
10.434,208.435676993271,52.1211353986542,5.718,18.1480893801629,9.34761787603258
18.39,354.910301537171,89.3720603074342,6.782,46.065007420692,15.9950014841384
15.238,240.769286661739,63.3918573323479,4.202,28.0547468852206,9.81294937704411
13.382,248.74294376286,63.1305887525719,9.436,25.395083793091,14.5150167586182
16.792,292.940679274391,75.3801358548782,7.2,44.2929070283414,16.0585814056683
18.67,291.279748322091,76.9259496644183,9.448,27.7289442943873,14.9937888588775
18.266,359.672741413935,90.2005482827871,9.742,44.2585614952547,18.5937122990509
0,0,0,6.018,39.7459358285617,13.9671871657123
17.292,273.565906396575,72.005181279315,9.612,27.5409620008564,15.1201924001713
12.67,217.5607860832,56.18215721664,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
10.38,207.732228049563,51.9264456099127,5.718,18.1480893801629,9.34761787603258
19.384,347.218600971607,88.8277201943213,6.782,46.065007420692,15.9950014841384
17.308,254.3508751849,68.17817503698,4.202,28.0547468852206,9.81294937704411
14.502,215.149646995572,57.5319293991144,9.106,26.9768762270816,14.5013752454163
17.406,262.064707109237,69.8189414218473,7.2,44.2929070283414,16.0585814056683
17.47,270.140458200699,71.4980916401397,8.908,27.6978539022536,14.4475707804507
19.948,349.605604814313,89.8691209628626,10.192,58.197975515019,21.8315951030038
0,0,0,6.018,39.7459358285617,13.9671871657123
15.938,229.269841426413,61.7919682852826,9.612,27.5409620008564,15.1201924001713
12.964,231.957910460109,59.3555820920218,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
11.184,210.077855784824,53.1995711569649,5.718,18.1480893801629,9.34761787603258
18.694,357.591977598316,90.2123955196632,6.782,46.065007420692,15.9950014841384
16.526,254.011266521493,67.3282533042986,4.202,28.0547468852206,9.81294937704411
13.796,200.110334678992,53.8180669357984,9.436,25.395083793091,14.5150167586182
16.218,263.603392789445,68.938678557889,7.2,44.2929070283414,16.0585814056683
18.078,279.025033530161,73.8830067060322,6.438,44.0899734164394,15.2559946832879
19.446,323.32076654409,84.1101533088181,9.178,47.3581039561439,18.6496207912288
0,0,0,6.018,39.7459358285617,13.9671871657123
18.07,275.796148530642,73.2292297061284,9.612,27.5409620008564,15.1201924001713
13.078,223.529239348877,57.7838478697754,5.59,51.6272161630053,15.9154432326011
9.032,198.346181161048,48.7012362322096,4.956,38.6804371784407,12.6920874356881
